hour,day,month,temp,humidity,wind,pressure,precip
11,12,1,32,75,8,29.66,0.0
12,12,1,32,75,6,29.64,0.0
13,12,1,32,75,7,29.62,0.0
14,12,1,34,70,6,29.62,0.0
15,12,1,34,65,3,29.62,0.0
16,12,1,34,60,7,29.61,0.0
17,12,1,32,64,5,29.61,0.0
18,12,1,32,64,3,29.61,0.0
19,12,1,30,75,7,29.61,0.0
20,12,1,30,75,6,29.62,0.0
21,12,1,30,80,5,29.62,0.0
22,12,1,30,80,7,29.6,0.0
23,12,1,30,80,7,29.58,0.0
1,14,1,32,100,7,29.32,0.0
2,14,1,32,100,7,29.33,0.0
3,14,1,32,93,6,29.33,0.0
4,14,1,32,93,5,29.33,0.0
5,14,1,32,93,2,29.33,0.0
6,14,1,30,100,0,29.35,0.0
7,14,1,32,93,3,29.36,0.0
8,14,1,32,93,0,29.38,0.0
9,14,1,30,100,0,29.39,0.0
10,14,1,32,93,2,29.41,0.0
11,14,1,32,100,5,29.4,0.0
12,14,1,32,100,6,29.39,0.0
13,14,1,32,100,6,29.39,0.0
14,14,1,32,100,6,29.39,0.0
15,14,1,32,100,3,29.4,0.0
16,14,1,32,93,6,29.43,0.0
17,14,1,32,93,6,29.44,0.0
18,14,1,32,93,5,29.45,0.0
19,14,1,32,93,7,29.48,0.0
20,14,1,32,93,5,29.5,0.0
21,14,1,32,93,5,29.51,0.0
22,14,1,32,93,7,29.52,0.0
23,14,1,32,93,8,29.52,0.0
1,2,1,25,93,15,29.55,0.0
2,2,1,25,93,15,29.49,0.0
3,2,1,25,93,14,29.45,0.0
4,2,1,23,93,15,29.4,0.0
5,2,1,23,93,16,29.35,0.0
6,2,1,25,93,16,29.36,0.0
7,2,1,25,93,12,29.37,0.0
8,2,1,25,93,13,29.4,0.0
9,2,1,27,80,13,29.44,0.0
10,2,1,27,80,8,29.47,0.0
11,2,1,28,80,9,29.49,0.0
12,2,1,28,74,6,29.5,0.0
13,2,1,30,69,10,29.52,0.0
14,2,1,30,75,12,29.56,0.0
15,2,1,30,75,13,29.6,0.0
16,2,1,30,75,8,29.63,0.0
17,2,1,28,80,7,29.65,0.0
18,2,1,28,80,6,29.68,0.0
19,2,1,27,80,6,29.7,0.0
20,2,1,28,74,7,29.71,0.0
21,2,1,28,74,5,29.72,0.0
22,2,1,27,86,2,29.73,0.0
23,2,1,25,86,2,29.73,0.0
1,13,1,28,86,7,29.57,0.0
2,13,1,28,93,6,29.58,0.0
3,13,1,28,86,5,29.57,0.0
4,13,1,27,93,6,29.55,0.0
5,13,1,27,93,5,29.52,0.0
6,13,1,28,93,7,29.53,0.0
7,13,1,28,93,5,29.52,0.0
8,13,1,28,93,8,29.5,0.0
9,13,1,28,93,8,29.49,0.0
10,13,1,30,86,7,29.49,0.0
11,13,1,30,93,9,29.46,0.0
12,13,1,32,93,8,29.43,0.0
13,13,1,32,93,7,29.39,0.0
14,13,1,34,87,8,29.38,0.0
15,13,1,32,93,9,29.37,0.0
16,13,1,32,93,12,29.37,0.0
17,13,1,32,93,10,29.36,0.0
18,13,1,32,93,10,29.35,0.0
19,13,1,32,93,8,29.35,0.0
20,13,1,32,93,8,29.34,0.0
21,13,1,32,100,8,29.34,0.0
22,13,1,32,100,8,29.33,0.0
23,13,1,32,100,5,29.33,0.0
