minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
9,11,1,1,28.8,83,1.8,30.47,0.0,11,-999,-999,-999,-999,-999
0,11,2,1,-999,-999,-999,-999,-999,.21,2.8,28,.1
9,12,1,1,29.4,81,1.2,30.44,0.0,12,-999,-999,-999,-999,-999
0,12,2,1,-999,-999,-999,-999,-999,.2,2.7,30,.1
9,13,1,1,29.5,81,1.7,30.41,0.0,19,-999,-999,-999,-999,-999
0,13,2,1,-999,-999,-999,-999,-999,.17,3.3,29,.1
9,14,1,1,29.8,80,3.3,30.39,0.0,-999,-999,-999,-999,-999
0,14,2,1,-999,-999,-999,-999,-999,6,.18,3.5,29,.1
9,15,1,1,30.5,79,2.0,30.35,0.0,-999,-999,-999,-999,-999
0,15,2,1,-999,-999,-999,-999,-999,6,.19,5.1,27,.1
9,16,1,1,30.8,79,2.8,30.32,0.0,11,-999,-999,-999,-999,-999
0,16,2,1,-999,-999,-999,-999,-999,.24,8.6,23,.1
9,17,1,1,30.2,79,2.8,30.3,0.0,-999,-999,-999,-999,-999
0,17,2,1,-999,-999,-999,-999,-999,8,.28,12.6,19,.1
9,18,1,1,29.7,80,2.7,30.29,0.0,-999,-999,-999,-999,-999
0,18,2,1,-999,-999,-999,-999,-999,8,.25,9.8,22,.1
9,19,1,1,29.0,79,5.4,30.24,0.0,-999,-999,-999,-999,-999
0,19,2,1,-999,-999,-999,-999,-999,8,.23,7,25,.1
9,20,1,1,28.6,78,4.5,30.19,0.0,-999,-999,-999,-999,-999
0,20,2,1,-999,-999,-999,-999,-999,7,.2,8.1,26,0
9,21,1,1,28.5,78,4.8,30.15,0.0,-999,-999,-999,-999,-999
0,21,2,1,-999,-999,-999,-999,-999,7,.23,10.7,24,0
9,22,1,1,28.3,77,5.5,30.11,0.0,-999,-999,-999,-999,-999
0,22,2,1,-999,-999,-999,-999,-999,6,.2,10.4,24,0
9,23,1,1,26.2,92,5.1,30.1,0.0,-999,-999,-999,-999,-999
0,23,2,1,-999,-999,-999,-999,-999,7,.3,22.4,13,.1
14,0,1,1,28.2,73,3.3,30.46,0.0,-999,-999,-999,-999,-999
0,0,3,1,-999,-999,-999,-999,-999,7,.36,32.6,4,.1
14,1,1,1,26.5,77,0.6,30.44,0.0,-999,-999,-999,-999,-999
0,1,3,1,-999,-999,-999,-999,-999,7,.26,22.6,10,.1
14,2,1,1,26.6,79,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,3,1,-999,-999,-999,-999,-999,7,.27,31.3,3,.1
14,3,1,1,26.8,80,0.3,30.48,0.0,-999,-999,-999,-999,-999
0,3,3,1,-999,-999,-999,-999,-999,8,.31,32.3,1,.1
14,4,1,1,27.4,77,0.0,30.46,0.0,14,-999,-999,-999,-999,-999
0,4,3,1,-999,-999,-999,-999,-999,.3,27.8,3,.1
14,5,1,1,27.7,76,2.4,30.48,0.0,-999,-999,-999,-999,-999
0,5,3,1,-999,-999,-999,-999,-999,7,.24,17.1,12,0
14,6,1,1,28.1,74,0.0,30.5,0.0,-999,-999,-999,-999,-999
0,6,3,1,-999,-999,-999,-999,-999,6,.23,12,18,.2
14,7,1,1,26.6,83,1.3,30.49,0.0,-999,-999,-999,-999,-999
0,7,3,1,-999,-999,-999,-999,-999,6,.22,10.9,19,.3
14,8,1,1,27.1,83,0.7,30.49,0.0,-999,-999,-999,-999,-999
0,8,3,1,-999,-999,-999,-999,-999,6,.23,12.8,16,.2
14,9,1,1,26.8,85,1.9,30.51,0.0,-999,-999,-999,-999,-999
0,9,3,1,-999,-999,-999,-999,-999,5,.24,9,23,.3
14,10,1,1,27.7,85,1.6,30.5,0.0,-999,-999,-999,-999,-999
0,10,3,1,-999,-999,-999,-999,-999,4,.21,5.2,27,.3
14,11,1,1,28.8,82,1.5,30.47,0.0,11,-999,-999,-999,-999,-999
0,11,3,1,-999,-999,-999,-999,-999,.19,6.2,26,.4
14,12,1,1,29.4,81,1.7,30.44,0.0,-999,-999,-999,-999,-999
0,12,3,1,-999,-999,-999,-999,-999,6,.17,5.2,26,.1
14,13,1,1,29.6,81,2.4,30.41,0.0,12,-999,-999,-999,-999,-999
0,13,3,1,-999,-999,-999,-999,-999,.17,5.4,27,.2
14,14,1,1,29.7,81,2.9,30.39,0.0,-999,-999,-999,-999,-999
0,14,3,1,-999,-999,-999,-999,-999,7,.18,4.6,28,.4
14,15,1,1,30.4,79,2.7,30.35,0.0,19,-999,-999,-999,-999,-999
0,15,3,1,-999,-999,-999,-999,-999,.2,5.7,28,.4
14,16,1,1,30.8,79,2.3,30.32,0.0,-999,-999,-999,-999,-999
0,16,3,1,-999,-999,-999,-999,-999,8,.19,7.2,26,.2
14,17,1,1,30.2,79,2.0,30.3,0.0,-999,-999,-999,-999,-999
0,17,3,1,-999,-999,-999,-999,-999,10,.25,10.5,23,.1
14,18,1,1,29.7,79,2.4,30.28,0.0,-999,-999,-999,-999,-999
0,18,3,1,-999,-999,-999,-999,-999,10,.25,8.5,25,.1
14,19,1,1,29.0,79,5.0,30.23,0.0,-999,-999,-999,-999,-999
0,19,3,1,-999,-999,-999,-999,-999,12,.26,10.5,22,.2
14,20,1,1,28.5,79,3.4,30.19,0.0,-999,-999,-999,-999,-999
0,20,3,1,-999,-999,-999,-999,-999,13,.26,9.9,22,.2
14,21,1,1,28.4,78,6.1,30.14,0.0,-999,-999,-999,-999,-999
0,21,3,1,-999,-999,-999,-999,-999,13,.26,9,23,.2
14,22,1,1,28.3,78,5.1,30.11,0.0,-999,-999,-999,-999,-999
0,22,3,1,-999,-999,-999,-999,-999,13,.25,8,23,.2
14,23,1,1,26.1,93,5.3,30.09,0.0,-999,-999,-999,-999,-999
0,23,3,1,-999,-999,-999,-999,-999,13,.25,7.6,23,.3
19,0,1,1,28.1,73,2.3,30.46,0.0,-999,-999,-999,-999,-999
0,0,4,1,-999,-999,-999,-999,-999,14,.25,8.4,23,.2
19,1,1,1,26.4,78,0.0,30.44,0.0,-999,-999,-999,-999,-999
0,1,4,1,-999,-999,-999,-999,-999,14,.24,6,25,.3
19,2,1,1,26.7,79,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,4,1,-999,-999,-999,-999,-999,14,.24,6.3,24,.2
19,3,1,1,26.9,80,0.0,30.48,0.0,12,-999,-999,-999,-999,-999
0,3,4,1,-999,-999,-999,-999,-999,.24,6.7,21,.3
19,4,1,1,27.4,77,0.0,30.46,0.0,14,-999,-999,-999,-999,-999
0,4,4,1,-999,-999,-999,-999,-999,.24,6.6,20,.2
19,5,1,1,27.7,75,2.3,30.48,0.0,11,-999,-999,-999,-999,-999
0,5,4,1,-999,-999,-999,-999,-999,.19,6.2,21,.1
19,6,1,1,28.1,74,0.0,30.5,0.0,-999,-999,-999,-999,-999
0,6,4,1,-999,-999,-999,-999,-999,12,.19,8.4,18,.1
19,7,1,1,26.6,84,0.2,30.49,0.0,-999,-999,-999,-999,-999
0,7,4,1,-999,-999,-999,-999,-999,12,.2,9.8,17,.1
19,8,1,1,27.1,83,0.2,30.49,0.0,-999,-999,-999,-999,-999
0,8,4,1,-999,-999,-999,-999,-999,12,.2,10.3,17,.1
19,9,1,1,26.7,85,1.4,30.51,0.0,-999,-999,-999,-999,-999
0,9,4,1,-999,-999,-999,-999,-999,12,.19,8,19,.3
19,10,1,1,27.9,84,1.6,30.5,0.0,-999,-999,-999,-999,-999
0,10,4,1,-999,-999,-999,-999,-999,13,.2,6.9,21,.2
19,11,1,1,28.8,83,1.2,30.47,0.0,19,-999,-999,-999,-999,-999
0,11,4,1,-999,-999,-999,-999,-999,.21,7.5,22,.2
19,12,1,1,29.4,81,1.7,30.44,0.0,-999,-999,-999,-999,-999
0,12,4,1,-999,-999,-999,-999,-999,13,.22,9,21,.2
19,13,1,1,29.6,81,2.3,30.41,0.0,12,-999,-999,-999,-999,-999
0,13,4,1,-999,-999,-999,-999,-999,.25,10.7,20,.1
