date,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2021-01-28,1.8,2.3,2.3,2.6,2.7,4.1,6.8,10.5,4.7,3.1,3.2,3.3,2.8,2.6,2.9,2.8,4.5,5.8,3.8,3,2.3,2.6,2.4,2.5
2021-01-29,2.5,2.5,3.2,2.9,3.6,5.6,4.4,4.7,4.3,2.7,2.5,2.1,2,2,2.3,2.4,3.6,4,4.6,7.2,7.1,6.5,7.7,11.7
2021-01-30,9,7.4,8.8,9.3,10.8,9.4,9.8,10.2,5.1,2.9,1.8,1.7,1.8,2,2.2,3.2,4.1,5.9,8.6,13.1,15.6,21.5,20.9,18.1
2021-01-31,17.5,23.1,24,14.5,14.6,12.3,13.7,14.1,10.8,7.1,4.7,5,5.9,6.9,4.5,4.5,6.6,13.5,14.9,14.6,17.9,13.8,13.1,21.2
2021-02-01,27.2,34.2,26.6,30.6,23.3,29.1,24.1,20.7,17.9,10.5,9.6,7.6,5.6,6.2,6.4,7.2,9,12.5,29.7,22.6,22.7,28.8,23.7,19.3
2021-02-02,26.3,21.1,12.7,17.5,13,9.1,10.1,8.1,8.7,8.2,6.7,7.3,5.1,4.1,5.7,7,7.4,5.6,4.3,4.2,3.9,4,3,3
2021-02-03,3.3,3.7,2.9,2.7,2.8,2.8,3.2,3.8,4.6,3.4,3.5,2.3,2.4,2.4,1.9,2.6,4.3,5,3.7,3.7,2.9,3.4,3.9,3.3
2021-02-04,2.1,3,2.6,4.2,4.1,3.4,4.4,14.4,3.5,3,2.7,2.6,5.6,9.1,7.1,9.6,8.9,8.7,11.2,25.6,41.7,38.3,33,25
2021-02-05,33,18.5,22.4,22.5,14.1,10.3,7.4,9,11.7,12.2,13.2,17.3,20.7,9.7,9.1,7.5,7,7.9,8,7.8,6.6,8.1,7.5,8.5
2021-02-06,10.1,9.8,10,9.9,10.5,12.1,12.9,10.5,8.4,7.9,4.9,4.2,3.8,4.2,4.3,5,6.9,8.4,9.8,10.1,10.9,10.5,10.7,10.6
2021-02-07,11.9,16.6,10.2,14.1,9.6,12.8,14.4,10.9,8.6,8.9,9.8,9.5,12,12.2,9.3,6.1,7.8,13.4,7.3,3.7,3.8,4.4,4,5
2021-02-08,4.1,4.8,6.7,7.1,9.1,10,13.4,14.8,15.1,14.9,10,7.3,6.5,6.9,6.2,5.7,7.7,11.7,12.7,18.8,26.5,26.1,29.2,35.7
2021-02-09,26,23,23.1,19,10.5,14.5,20.1,12.3,11,9.1,10,10.3,10.3,9.4,11,14.2,13.2,17.6,20.4,21.2,23.9,28,31.6,28
2021-02-10,24.6,11.8,5.7,6.9,10.3,7.7,10.3,12.5,11.8,7.3,4.9,3.9,3.3,2.5,2.9,3.6,4.1,8.2,12.8,13.6,14.8,20.9,18.1,17.7
2021-02-11,11.9,9,11.9,12.2,18.8,21.1,9.8,10.1,6.5,4.5,3,2.4,2.1,2.8,2.4,2.9,2.9,3.6,3.9,3.8,4.9,4.1,5.1,5.1
2021-02-12,5.1,5.1,5.4,3.9,5.7,5.9,6.2,7,5.7,3.9,3.2,3.8,2.6,2.6,2.9,3.8,4.9,6.1,8.2,11.5,13.6,9.4,6.8,7.4
2021-02-13,6,6.3,4.9,4.3,6.2,6.8,5.4,5.6,4,2.8,2.7,3.7,7.1,4.8,3.5,7,9,10.6,11.9,6.8,6.6,8.8,7.7,6.1
2021-02-14,6.2,6.9,7.5,9.5,8.6,9.5,9.5,11.6,10.4,10,9,6,4.8,4.5,3,3.3,5.4,7.1,11.2,11,13.1,26.4,35.4,25.9
2021-02-15,23.9,17.7,14.5,23.9,23.1,16,10.5,8.6,9,10.5,11.2,7.6,7.2,5,5.4,6,6.7,8.5,11.8,13.5,10.4,12.8,8,6.8
