hour,day,month,temp,humidity,wind,pressure,precip
12,6,1,27.0,80.0,13,29.72,0.0
13,6,1,27.0,74.0,16,29.72,0.0
14,6,1,27.0,74.0,13,29.71,0.0
15,6,1,27.0,74.0,17,29.73,0.0
16,6,1,27.0,74.0,18,29.75,0.0
17,6,1,25.0,80.0,14,29.77,0.0
18,6,1,25.0,80.0,13,29.78,0.0
19,6,1,25.0,74.0,13,29.78,0.0
20,6,1,23.0,80.0,10,29.79,0.0
21,6,1,25.0,80.0,14,29.79,0.0
22,6,1,25.0,80.0,12,29.79,0.0
23,6,1,25.0,80.0,16,29.79,0.0
0,7,1,27.0,80.0,14,29.79,0.0
1,7,1,27.0,80.0,14,29.79,0.0
2,7,1,27.0,80.0,17,29.8,0.0
3,7,1,27.0,80.0,12,29.82,0.0
4,7,1,27.0,80.0,13,29.82,0.0
5,7,1,27.0,74.0,14,29.83,0.0
6,7,1,27.0,80.0,14,29.84,0.0
7,7,1,25.0,80.0,10,29.85,0.0
8,7,1,25.0,80.0,12,29.86,0.0
9,7,1,25.0,80.0,14,29.88,0.0
10,7,1,25.0,80.0,14,29.88,0.0
11,7,1,25.0,80.0,14,29.87,0.0
12,7,1,23.0,80.0,12,29.85,0.0
13,7,1,23.0,80.0,15,29.84,0.0
14,7,1,23.0,74.0,13,29.84,0.0
15,7,1,21.0,80.0,15,29.85,0.0
16,7,1,21.0,80.0,14,29.86,0.0
17,7,1,21.0,74.0,14,29.86,0.0
18,7,1,21.0,74.0,13,29.87,0.0
19,7,1,21.0,74.0,8,29.88,0.0
20,7,1,21.0,74.0,14,29.87,0.0
21,7,1,21.0,74.0,13,29.86,0.0
22,7,1,21.0,80.0,12,29.86,0.0
23,7,1,21.0,80.0,10,29.84,0.0
0,8,1,19.0,86.0,14,29.83,0.0
1,8,1,19.0,86.0,10,29.82,0.0
2,8,1,16.0,93.0,9,29.82,0.0
3,8,1,16.0,86.0,10,29.82,0.0
4,8,1,16.0,79.0,10,29.82,0.0
5,8,1,14.0,86.0,13,29.81,0.0
6,8,1,12.0,85.0,9,29.8,0.0
7,8,1,10.0,92.0,10,29.81,0.0
8,8,1,10.0,85.0,8,29.81,0.0
9,8,1,12.0,79.0,9,29.8,0.0
10,8,1,14.0,73.0,9,29.8,0.0
11,8,1,16.0,73.0,10,29.77,0.0
12,8,1,18.0,68.0,12,29.74,0.0
13,8,1,19.0,63.0,10,29.71,0.0
14,8,1,21.0,58.0,10,29.71,0.0
15,8,1,21.0,58.0,9,29.7,0.0
16,8,1,21.0,54.0,13,29.7,0.0
17,8,1,18.0,68.0,12,29.7,0.0
18,8,1,16.0,68.0,7,29.71,0.0
19,8,1,16.0,68.0,10,29.71,0.0
20,8,1,16.0,62.0,10,29.7,0.0
21,8,1,16.0,68.0,15,29.7,0.0
22,8,1,19.0,63.0,15,29.67,0.0
23,8,1,18.0,68.0,12,29.67,0.0
0,9,1,16.0,68.0,7,29.67,0.0
1,9,1,18.0,63.0,10,29.65,0.0
2,9,1,18.0,63.0,12,29.65,0.0
3,9,1,18.0,63.0,12,29.66,0.0
4,9,1,18.0,63.0,17,29.65,0.0
5,9,1,18.0,63.0,14,29.65,0.0
6,9,1,19.0,63.0,15,29.66,0.0
7,9,1,19.0,63.0,15,29.68,0.0
8,9,1,19.0,63.0,16,29.69,0.0
9,9,1,18.0,68.0,12,29.71,0.0
10,9,1,19.0,63.0,12,29.71,0.0
11,9,1,19.0,63.0,8,29.69,0.0
12,9,1,23.0,59.0,13,29.67,0.0
13,9,1,25.0,54.0,10,29.66,0.0
14,9,1,28.0,55.0,10,29.65,0.0
15,9,1,28.0,59.0,17,29.66,0.0
16,9,1,27.0,64.0,15,29.68,0.0
17,9,1,25.0,69.0,14,29.7,0.0
18,9,1,23.0,74.0,14,29.71,0.0
19,9,1,23.0,80.0,8,29.72,0.0
20,9,1,21.0,80.0,9,29.73,0.0
21,9,1,19.0,80.0,8,29.74,0.0
22,9,1,16.0,86.0,10,29.73,0.0
23,9,1,16.0,86.0,7,29.74,0.0
0,10,1,16.0,86.0,7,29.75,0.0
1,10,1,18.0,86.0,8,29.76,0.0
2,10,1,14.0,93.0,7,29.78,0.0
3,10,1,14.0,93.0,6,29.8,0.0
4,10,1,16.0,93.0,7,29.81,0.0
5,10,1,12.0,92.0,5,29.81,0.0
6,10,1,14.0,93.0,5,29.83,0.0
7,10,1,14.0,93.0,5,29.84,0.0
8,10,1,14.0,93.0,3,29.85,0.0
9,10,1,14.0,86.0,5,29.87,0.0
10,10,1,16.0,93.0,5,29.89,0.0
11,10,1,16.0,93.0,6,29.89,0.0
12,10,1,16.0,93.0,6,29.87,0.0
13,10,1,16.0,93.0,7,29.85,0.0
14,10,1,18.0,86.0,7,29.85,0.0
15,10,1,19.0,80.0,5,29.85,0.0
16,10,1,19.0,80.0,5,29.86,0.0
17,10,1,19.0,86.0,3,29.87,0.0
18,10,1,18.0,86.0,5,29.86,0.0
19,10,1,18.0,86.0,2,29.87,0.0
20,10,1,14.0,93.0,3,29.87,0.0
21,10,1,16.0,86.0,3,29.87,0.0
22,10,1,16.0,93.0,2,29.86,0.0
23,10,1,18.0,93.0,5,29.85,0.0
0,11,1,19.0,93.0,10,29.84,0.0
1,11,1,21.0,86.0,0,29.84,0.0
2,11,1,21.0,93.0,3,29.84,0.0
3,11,1,21.0,93.0,3,29.84,0.0
4,11,1,21.0,93.0,5,29.83,0.0
5,11,1,21.0,93.0,5,29.82,0.0
6,11,1,21.0,93.0,3,29.83,0.0
7,11,1,23.0,86.0,6,29.82,0.0
8,11,1,23.0,86.0,3,29.81,0.0
9,11,1,23.0,93.0,6,29.8,0.0
10,11,1,25.0,86.0,5,29.8,0.0
11,11,1,28.0,86.0,0,29.78,0.0
12,11,1,34.0,70.0,10,29.74,0.0
13,11,1,34.0,70.0,9,29.71,0.0
14,11,1,34.0,70.0,10,29.7,0.0
15,11,1,32.0,87.0,9,29.69,0.0
16,11,1,32.0,93.0,7,29.69,0.0
17,11,1,32.0,93.0,5,29.67,0.0
18,11,1,32.0,93.0,7,29.67,0.0
19,11,1,32.0,93.0,8,29.66,0.0
20,11,1,32.0,93.0,8,29.64,0.0
21,11,1,32.0,93.0,7,29.64,0.0
22,11,1,32.0,93.0,7,29.63,0.0
23,11,1,32.0,80.0,17,29.63,0.0
0,12,1,32.0,75.0,10,29.62,0.0
1,12,1,32.0,69.0,10,29.61,0.0
2,12,1,30.0,75.0,8,29.62,0.0
3,12,1,30.0,80.0,9,29.63,0.0
4,12,1,30.0,80.0,9,29.62,0.0
5,12,1,30.0,75.0,8,29.63,0.0
6,12,1,30.0,80.0,7,29.63,0.0
7,12,1,28.0,86.0,7,29.64,0.0
8,12,1,28.0,86.0,6,29.65,0.0
9,12,1,30.0,80.0,6,29.66,0.0
10,12,1,30.0,80.0,7,29.67,0.0
11,12,1,32.0,75.0,8,29.66,0.0
12,12,1,32.0,75.0,6,29.64,0.0
13,12,1,32.0,75.0,7,29.62,0.0
14,12,1,34.0,70.0,6,29.62,0.0
15,12,1,34.0,65.0,3,29.62,0.0
16,12,1,34.0,60.0,7,29.61,0.0
17,12,1,32.0,64.0,5,29.61,0.0
18,12,1,32.0,64.0,3,29.61,0.0
19,12,1,30.0,75.0,7,29.61,0.0
20,12,1,30.0,75.0,6,29.62,0.0
21,12,1,30.0,80.0,5,29.62,0.0
22,12,1,30.0,80.0,7,29.6,0.0
23,12,1,30.0,80.0,7,29.58,0.0
0,13,1,28.0,86.0,6,29.58,0.0
1,13,1,28.0,86.0,7,29.57,0.0
2,13,1,28.0,93.0,6,29.58,0.0
3,13,1,28.0,86.0,5,29.57,0.0
4,13,1,27.0,93.0,6,29.55,0.0
5,13,1,27.0,93.0,5,29.52,0.0
6,13,1,28.0,93.0,7,29.53,0.0
7,13,1,28.0,93.0,5,29.52,0.0
8,13,1,28.0,93.0,8,29.5,0.0
9,13,1,28.0,93.0,8,29.49,0.0
10,13,1,30.0,86.0,7,29.49,0.0
11,13,1,30.0,93.0,9,29.46,0.0
12,13,1,32.0,93.0,8,29.43,0.0
13,13,1,32.0,93.0,7,29.39,0.0
14,13,1,34.0,87.0,8,29.38,0.0
15,13,1,32.0,93.0,9,29.37,0.0
16,13,1,32.0,93.0,12,29.37,0.0
